IdBundesland;Bundesland;Landkreis;Altersgruppe;Geschlecht;AnzahlFall;AnzahlTodesfall;ObjectId;Meldedatum;IdLandkreis
1;Schleswig-Holstein;SK Flensburg;A15-A34;M;1;0;139910;2020-03-14T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Flensburg;A15-A34;M;2;0;139911;2020-03-19T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Flensburg;A15-A34;W;1;0;139912;2020-03-14T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Flensburg;A15-A34;W;2;0;139913;2020-03-18T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Flensburg;A35-A59;M;1;0;139914;2020-03-14T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Flensburg;A35-A59;W;1;0;139915;2020-03-14T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Flensburg;A35-A59;W;2;0;139916;2020-03-19T00:00:00.000Z;1001
1;Schleswig-Holstein;SK Kiel;A15-A34;M;1;0;139917;2020-03-10T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;M;2;0;139918;2020-03-11T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;M;1;0;139919;2020-03-13T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;M;1;0;139920;2020-03-14T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;M;1;0;139921;2020-03-16T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;M;1;0;139922;2020-03-18T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;W;1;0;139923;2020-03-10T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;W;1;0;139924;2020-03-12T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;W;3;0;139925;2020-03-16T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;W;1;0;139926;2020-03-17T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;W;2;0;139927;2020-03-18T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A15-A34;W;3;0;139928;2020-03-19T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;M;1;0;139929;2020-03-11T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;M;1;0;139930;2020-03-12T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;M;3;0;139931;2020-03-19T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;1;0;139932;2020-03-10T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;1;0;139933;2020-03-11T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;2;0;139934;2020-03-12T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;1;0;139935;2020-03-16T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;1;0;139936;2020-03-17T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;1;0;139937;2020-03-18T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A35-A59;W;2;0;139938;2020-03-19T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A60-A79;M;1;0;139939;2020-03-19T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Kiel;A60-A79;W;1;0;139940;2020-03-18T00:00:00.000Z;1002
1;Schleswig-Holstein;SK Lübeck;A15-A34;M;1;0;139941;2020-03-11T00:00:00.000Z;1003
1;Schleswig-Holstein;SK Lübeck;A15-A34;M;1;0;139942;2020-03-18T00:00:00.000Z;1003
